name,description,icon
sample packaging,"A step involving the packaging of samples for transport or storage.",sheet-plastic
freeze drying,"A step involving the removal of moisture from samples by sublimation.",snowflake
labelling,"A step involving the application of labels to organisms, samples or containers.",tag
scan qrcode,"A step involving the scanning of a QR code for identification or tracking purposes.",qrcode
photographing,"A step involving the capture of images of organisms, samples or containers.",camera
geotagging,"A step involving the recording of geographical coordinates for samples or organisms.",map-location-dot
store sample,"A step involving the storage of a sample in a sample container.",vial
storage,"A step involving the storage of samples or organisms in a controlled environment.",boxes-packing
weighing,"A step involving the measurement of the weight of samples or organisms.",weight-scale
aliquoting,"A step involving the division of a sample into smaller portions for analysis or storage.",vials
sampling,"A step involving the collection of samples from organisms or environments.",vials
printing,"A step involving the printing of labels or documents related to samples or organisms.",print
cleaning,"A step involving the removal of contaminants or impurities from tools, samples or organisms.",broom