name,font_awesome_icon
no rank,question-circle
species,leaf
no rank - terminal,question-circle
genus,leaf
subspecies,leaf
species group,leaf
species subgroup,leaf
family,people-roof
subfamily,people-roof
tribe,people-group
class,leaf
order,leaf
phylum,leaf
subgenus,leaf
forma,leaf
varietas,leaf
superfamily,people-roof
subtribe,people-group
subsection,leaf
infraclass,leaf
suborder,leaf
subclass,leaf
superorder,leaf
infraorder,leaf
subphylum,leaf
superclass,leaf
parvorder,leaf
subcohort,people-group
section,leaf
infrakingdom,crown
variety,leaf
subkingdom,crown
domain,chess-king
kingdom,crown
infraphylum,leaf
supertribe,people-group
infraspecificname,leaf
subterclass,leaf
subdivision,leaf
cohort,people-group
superphylum,leaf