Chemical formula	Synonyms	CAS number
Ac2O3	actinium(III) oxide	12002-61-8
Ag	silver	7440-22-4
AgAlCl4	silver tetrachloroaluminate	27039-77-6
AgBr	silver bromide	7785-23-1
AgBrO3	silver bromate	7783-89-3
AgCN	silver cyanide	506-64-9
AgC2H3O2	silver acetate	563-63-3
AgCl	silver chloride	7783-90-6
AgClO3	silver chlorate	7783-92-8
AgClO4	silver perchlorate	7783-93-9
AgF	silver fluoride	7775-41-9
AgF2	silver difluoride	7783-95-1
AgI	silver iodide	7783-96-2
AgIO3	silver iodate	7783-97-3
AgMnO4	silver permanganate	7783-98-4
AgN3	silver azide	13863-88-2
AgNO3	silver nitrate	7761-88-8
AgO	silver(I,III) oxide	1301-96-8
AgONC	silver fulminate	5610-59-3
AgPF6	silver hexafluorophosphate	26042-63-7
AgReO4	silver perrhenate	7784-00-1
AgSNC	silver thiocyanate	1701-93-5
Ag2C2	silver acetylide	7659-31-6
Ag2CO3	silver carbonate	534-16-7
Ag2C2O4	silver oxalate	533-51-7
Ag2Cl2	disilver dichloride	75763-82-5
Ag2CrO4	silver chromate	7784-01-2
Ag2Cr2O7	silver dichromate	7784-02-3
Ag2F	silver subfluoride	1302-01-8
Ag2MoO4	silver molybdate	13765-74-7
Ag2O	silver oxide	20667-12-3
Ag2S	silver sulfide	21548-73-2
Ag2SO4	silver sulfate	10294-26-5
Ag2Se	silver selenide	1302-09-6
Ag2SeO3	silver selenite	7784-05-6
Ag2SeO4	silver selenate	7784-07-8
Ag2Te	silver telluride	12002-99-2
Ag3Br2	silver dibromide	11078-32-3
Ag3Br3	silver tribromide	11078-33-4
Ag3Cl3	trisilver trichloride	12444-96-1
Ag3I3	trisilver triiodide	37375-12-5
Ag3PO4	silver phosphate	7784-09-0
Ag3SbS3	silver thioantimonate	15983-65-0
Al	aluminium	7429-90-5
AlAs	aluminium arsenide	22831-42-1
AlB2	aluminium diboride	12041-50-8
AlB12	aluminium dodecaboride	12041-54-2
AlBr3	aluminium bromide	7727-15-3
AlBr3•6H2O	aluminium bromide hexahydrate	7784-11-4
Al(CHO2)3	aluminium formate	7360-53-4
AlCl3	aluminium chloride	7446-70-0
AlCl3•6H2O	aluminium chloride hexahydrate	7784-13-6
AlF3	aluminium fluoride	7784-18-1
AlI3	aluminium iodide	7784-23-8
AlN	aluminium nitride	24304-00-5
Al(NO3)3	aluminium nitrate	13473-90-0
Al(OH)3	aluminium hydroxide	21645-51-2
AlP	aluminium phosphide	20859-73-8
AlPO4	aluminium phosphate	7784-30-7
AlSb	aluminium antimonide	25152-52-7
Al2O3	aluminium oxide	1344-28-1
Al2(SO4)3	aluminium sulfate	10043-01-3
Al2S3	aluminium sulfide	1302-81-4
Al2Se3	aluminium selenide	1302-82-5
Al4C3	aluminum carbide	1299-86-1
Al6O13Si2	aluminum silicate	1302-93-8
AmCl3	americium(III) chloride	13464-46-5
AmO2	americium dioxide	12005-67-3
As	arsenic	7440-38-2
AsBrO	arsenic oxybromide	82868-10-8
AsBr3	arsenic tribromide	7784-33-0
AsCl3	arsenic trichloride	7784-34-1
AsCl3O	arsenic oxychloride	60646-36-8
AsCl5	arsenic pentachloride	22441-45-8
AsF3	arsenic trifluoride	7784-35-2
AsF5	arsenic pentafluoride	7784-36-3
AsH3	arsenic trihydride	7784-42-1
AsI3	arsenic triiodide	7784-45-4
AsO	arsenic monoxide	12005-99-1
AsO2	arsenic dioxide	12255-12-8
AsP	arsenic monophosphide	12255-33-3
AsP3	arsenic phosphide	12511-95-4
AsSe4	arsenic tetraselenide	12006-06-3
As2H4	diarsenic tetrahydride	15942-63-9
As2I4	arsenic diiodide	13770-56-4
As2O3	arsenic trioxide	1327-53-3
As2O5	arsenic pentoxide	1303-28-2
As2P2	arsenic diphosphide	12512-03-7
As2S3	arsenic trisulfide	1303-33-9
As2S4	arsenic tetrasulfide	1303-32-8
As2S5	arsenic pentasulfide	1303-34-0
As2Se	arsenic hemiselenide	1303-35-1
As2Se3	arsenic triselenide	1303-36-2
As2Se5	arsenic pentaselenide	1303-37-3
As2Te3	arsenic tritelluride	12044-54-1
As3O4	arsenic tetraoxide	83527-53-1
As3P	arsenic triphosphide	12512-11-7
As4S4	tetraarsenic tetrasulfide	12279-90-2
Au	gold	7440-57-5
AuBr	gold(I) bromide	10294-27-6
AuBr3	gold(III) bromide	10294-28-7
AuCN	gold(I) cyanide	506-65-0
AuCl	gold(I) chloride	10294-29-8
AuCl3	gold(III) chloride	13453-07-1
AuF3	gold(III) fluoride	14720-21-9
AuF5	gold(V) fluoride	57542-85-5
AuI	gold(I) iodide	10294-31-2
AuI3	gold(III) iodide	31032-13-0
Au(OH)3	gold(III) hydroxide	1303-52-2
AuSe	gold(II) selenide	23331-11-5
AuTe	gold(II) telluride	37043-71-3
Au2O3	gold(III) oxide	1303-58-8
Au2S	gold(I) sulfide	1303-60-2
Au2S3	gold(III) sulfide	1303-61-3
Au2(SeO4)3	gold(III) selenate	10294-32-3
Au2Se3	gold(III) selenide	1303-62-4
Au4Cl8	gold(I,III) chloride	62792-24-9
Au4F8	gold(I,III) fluoride	14270-21-4
BAs	boron arsenide	12005-69-5
BAsO4	boron arsenate	13510-31-1
BBr3	boron tribromide	10294-33-4
BCl3	boron trichloride	10294-34-5
BF3	boron trifluoride	7637-07-2
BI3	boron triiodide	13517-10-7
BN	boron nitride	10043-11-5
BP	boron phosphide	20205-91-8
BPO4	boron phosphate	13308-51-5
B2Cl4	diboron tetrachloride	13701-67-2
B2F4	diboron tetrafluoride	13965-73-6
B2H6	diboron hexahydride	19287-45-7
B2O3	diboron trioxide	1303-86-2
B2S3	diboron trisulfide	12007-33-9
B4C	boron carbide	12069-32-8
B4H10	boron decahydride	18283-93-7
BaAl2O4	barium aluminate	12004-04-5
Ba(AsO3)2	barium arsenite	125687-68-5
Ba(AsO4)2	barium arsenate	56997-31-0
BaB6	barium boride	12046-08-1
BaBr2	barium bromide	10553-31-8
BaBr2•2H2O	barium bromide dihydrate	7791-28-8
Ba(CHO2)2	barium formate	541-43-5
Ba(CN)2	barium cyanide	542-62-1
BaCO3	barium carbonate	513-77-9
BaC2	barium carbide	50813-65-5
Ba(C2H3O2)2	barium acetate	543-80-6
BaC2O4	barium oxalate	516-02-9
BaC4H4O6	barium tartrate	5908-81-6
Ba(C18H35O2)2	barium stearate	6865-35-6
Ba(ClO3)2	barium chlorate	13477-00-4
Ba(ClO4)2	barium perchlorate	13465-95-7
BaCl2	barium chloride	10361-37-2
BaCl2•2H2O	barium chloride dihydrate	10326-27-9
BaCrO4	barium chromate	10294-40-3
BaF2	barium fluoride	7787-32-8
Ba(HS)2	barium hydrosulfide	25417-81-6
BaH2	barium hydride	13477-09-3
BaHgI4	barium tetraiodomercurate	10048-99-4
BaI2	barium iodide	13718-50-8
BaI2•2H2O	barium iodide dihydrate	7787-33-9
BaMnO4	barium manganate	7787-35-1
Ba(MnO4)2	barium permanganate	7787-36-2
BaMoO4	barium molybdate	7787-37-3
Ba(NO2)2	barium nitrite	13465-94-6
Ba(NO3)2	barium nitrate	10022-31-8
BaN6	barium azide	18810-58-7
Ba(NbO3)2	barium niobate	12009-14-2
BaO	barium oxide	1304-28-5
Ba(OH)2	barium hydroxide	17194-00-2
BaO2	barium peroxide	1304-29-6
Ba(PO3)2	barium metaphosphate	13466-20-1
Ba(ReO4)2	barium perrhenate	13768-52-0
BaS	barium sulfide	21109-95-5
Ba(SCN)2	barium thiocyanate	2092-17-3
BaSO3	barium sulfite	7787-39-5
BaSO4	barium sulfate	7727-43-7
BaS2O3	barium thiosulfate	35112-53-9
BaSe	barium selenide	1304-39-8
BaSeO3	barium selenite	13718-59-7
BaSeO4	barium selenate	7787-41-9
BaSiF6	barium hexafluorosilicate	17125-80-3
BaSiO3	barium metasilicate	13255-26-0
BaSi2	barium silicide	1304-40-1
BaSi2O5	barium disilicate	12650-28-1
BaSnO3	barium stannate	12009-18-6
BaTiO3	barium titanate	12047-27-7
Ba(VO3)2	barium vanadate	22652-39-7
BaWO4	barium tungstate	7787-42-0
BaZrO3	barium zirconate	12009-21-1
Ba2P2O7	barium pyrophosphate	13466-21-2
Ba3(CrO4)2	barium dichromate	12345-14-1
Ba3N2	barium nitride	12047-79-9
Ba3(VO4)2	barium orthovanadate	39416-30-3
BeAl2O4	beryllium aluminate	120041-06-7
Be(BH4)2	beryllium borohydride	17440-85-6
BeB2	beryllium boride	12228-40-9
BeBr2	beryllium bromide	7787-46-4
Be(CHO2)2	beryllium formate	1111-71-3
Be(C2H3O2)2	beryllium acetate	543-81-7
Be(C5H7O2)2	beryllium acetylacetonate	10210-64-7
BeCl2	beryllium chloride	7787-47-5
BeF2	beryllium fluoride	7787-49-7
BeH2	beryllium hydride	7787-52-2
BeI2	beryllium iodide	7787-53-3
Be(NO3)2	beryllium nitrate	13597-99-4
Be(NO3)2•4H2O	beryllium nitrate tetrahydrate	13510-48-0
Be(NO3)2•3H2O	beryllium nitrate trihydrate	7787-55-5
BeO	beryllium oxide	1304-56-9
Be(OH)2	beryllium hydroxide	13327-32-7
BeS	beryllium sulfide	13598-22-6
BeSO4	beryllium sulfate	13510-49-1
BeSO4•4H2O	beryllium sulfate trihydrate	7787-56-6
BeSe	beryllium selenide	12232-25-6
BeTe	beryllium telluride	12232-27-8
Be2C	beryllium carbide	506-66-1
Be2SiO4	beryllium silicate	13598-00-0
Be3N2	beryllium nitride	1304-54-7
Be3(PO4)2	beryllium phosphate	13598-15-7
BiBr3	bismuth(III) bromide	7787-58-8
Bi(CHO2)3	bismuth(III) formate	25573-24-4
BiC6H5O7	bismuth(III) citrate	813-93-4
BiCl3	bismuth(III) chloride	7787-60-2
BiF3	bismuth(III) fluoride	7787-61-3
BiF5	bismuth(V) fluoride	7787-62-4
BiH3	bismuth(III) hydride	18288-22-7
BiI3	bismuth(III) iodide	7787-64-6
BiNbO4	bismuth(III) orthoniobate	12272-28-5
BiOBr	bismuth(III) oxybromide	7787-57-7
BiOCl	bismuth(III) oxychloride	7787-59-9
Bi(OH)3	bismuth(III) hydroxide	10361-43-0
BiOI	bismuth(III) oxyiodide	7787-63-5
BiONO3	bismuth(III) oxynitrate	10361-46-3
(BiO)2CO3	bismuth(III) subcarbonate	5892-10-4
BiPO4	bismuth(III) phosphate	10049-01-1
BiTaO4	bismuth(III) orthotantalate	12272-29-6
BiVO4	bismuth(III) vanadate	14059-33-7
Bi2(C2O4)3	bismuth(III) oxalate	6591-55-5
Bi2(MoO4)3	bismuth(III) molybdate	51898-99-8
Bi2O3	bismuth(III) oxide	1304-76-3
Bi2O4	bismuth(IV) peroxide	12048-50-9
Bi2S3	bismuth(III) sulfide	1345-07-9
Bi2Se3	bismuth(III) selenide	12068-69-8
Bi2(SnO4)3	bismuth(III) stannate	7787-68-0
Bi2Te3	bismuth(III) telluride	1304-82-1
Bi4(TiO4)3	bismuth(III) titanate	12048-51-0
Bi5O(OH)9(NO3)4	bismuth(III) subnitrate	1304-85-4
BkBr3	berkelium(III) bromide	22787-71-9
BkCl3	berkelium(III) chloride	13536-46-4
BkF3	berkelium(III) fluoride	20716-88-5
BkF4	berkelium(IV) fluoride	22422-27-1
BkI3	berkelium(III) iodide	23171-53-1
BkO	berkelium(II) oxide	70424-36-1
BkO2	berkelium(IV) oxide	12010-84-3
Bk2O3	berkelium(III) oxide	12310-58-6
BrCl	bromine monochloride	13863-41-7
BrF	bromine monofluoride	13863-59-7
BrF3	bromine trifluoride	7787-71-5
BrF5	bromine pentafluoride	7789-30-2
BrN3	bromine azide	13973-87-0
BrO2	bromine dioxide	21255-83-4
Br2O	bromine monoxide	21308-80-5
C10H16N2O8	Ethylenediaminetetraacetic acid (EDTA)	6381-92-6
C12H22O11	sucrose	57-50-1
C18H29O3S	sodium dodecyl benzenesulfonate	25155-30-0
C20H25N30	Lysergic acid diethylamide (LSD)	50-37-3
C123H193N35O37	Common serum albumin (macromolecule)	9048-49-1
Ca(AlH4)2	calcium tetrahydroaluminate	16941-10-9
CaAl2O4	calcium aluminate	12042-68-1
CaB6	calcium boride	12007-99-7
CaBr2	calcium bromide	7789-41-5
Ca(CHO2)2	calcium formate	544-17-2
Ca(CN)2	calcium cyanide	592-01-8
CaCN2	calcium cyanamide	156-62-7
CaCO3	calcium carbonate	471-34-1
CaC2	calcium carbide	75-20-7
Ca(C2HO2)2	calcium fumarate	19855-56-2
Ca(C2H3O2)2	calcium acetate	62-54-4
CaC2O4	calcium oxalate	563-72-4
Ca(C3H5O2)2	calcium propionate	4075-81-4
Ca(ClO3)2	calcium chlorate	10137-74-3
Ca(ClO4)2	calcium perchlorate	13477-36-6
CaCl2	calcium chloride	10043-52-4
CaCl2•6H2O	calcium chloride hexahydrate	7774-34-7
CaCl2O2	calcium hypochlorite	7778-54-3
CaCr2O7	calcium chromate	14307-33-6
CaF2	calcium fluoride	7789-75-5
CaHPO4	calcium hydrogenorthophosphate	7757-93-9
CaH2	calcium hydride	7789-78-8
Ca(H2PO2)2	calcium hypophosphite	7789-79-9
Ca(H2PO4)2	calcium dihydrogen phosphate monohydrate	7758-23-8
Ca(IO3)2	calcium iodate	7789-80-2
CaI2	calcium iodide	10102-68-8
Ca(MnO4)2	calcium permanganate	10118-76-0
CaMoO4	calcium molybdate	7789-82-4
Ca(NO2)2	calcium nitrite	13780-06-8
Ca(NO3)2	calcium nitrate	10124-37-5
CaO	calcium oxide	1305-78-8
Ca(OH)2	calcium hydroxide	1305-62-0
CaO2	calcium peroxide	1305-79-9
CaRe2O8	calcium perrhenate	13768-54-2
CaS	calcium sulfide	20548-54-3
CaSO4	calcium sulfate	7778-18-9
CaSe	calcium selenide	1305-84-6
CaSiO3	calcium metasilicate	1344-95-2
CaSi2	calcium silicide	12013-56-8
CaTe	calcium telluride	12013-57-9
CaTiO3	calcium titanate	12049-50-2
CaWO4	calcium tungstate	7790-75-2
Ca2P2O7	calcium pyrophosphate	7790-76-3
Ca2SiO4	calcium silicate	1344-95-2
Ca3(AsO4)2	calcium arsenate	7778-44-1
Ca3(C6H15O7)2	calcium citrate	5785-44-4
Ca3N2	calcium nitride	12013-82-0
Ca3(PO4)2	calcium phosphate	7758-87-4
Ca3P2	calcium phosphide	1305-99-3
CdBr2	cadmium bromide	7789-42-6
Cd(CN)2	cadmium cyanide	542-83-6
CdCO3	cadmium carbonate	513-78-0
Cd(C2H3O2)2	cadmium acetate	543-90-8
CdC2O4	cadmium oxalate	814-88-0
CdCl2	cadmium chloride	10108-64-2
CdCrO4	cadmium chromate	14312-00-6
CdF2	cadmium fluoride	7790-79-6
Cd(IO3)2	cadmium iodate	7790-81-0
CdI2	cadmium iodide	7790-80-9
CdMoO4	cadmium molybdate	13972-68-4
Cd(NO3)2	cadmium nitrate	10325-94-7
Cd(N3)2	cadmium azide	14215-29-3
CdO	cadmium oxide	1306-19-0
Cd(OH)2	cadmium hydroxide	21041-95-2
CdS	cadmium sulfide	1306-23-6
CdSO4	cadmium sulfate	10124-36-4
CdSb	cadmium antimonide	12014-29-8
CdSe	cadmium selenide	1306-24-7
CdSiO3	cadmium silicate	13477-19-5
CdTe	cadmium telluride	1306-25-8
CdTiO4	cadmium titanate	12014-14-1
CdWO4	cadmium tungstate	7790-85-4
Cd2Nb2O7	cadmium niobate	12187-14-3
Cd3As2	cadmium arsenide	12006-15-4
Cd3P2	cadmium phosphide	12014-28-7
Cd3N2	cadmium nitride	12380-95-9
CeBr3	cerium(III) bromide	7790-86-5
Ce(CHO2)3	cerium(III) formate	3252-51-5
CeCl3	cerium(III) chloride	7790-86-5
CeF2	cerium(II) fluoride	22655-57-8
CeF3	cerium(III) fluoride	7758-88-5
CeF4	cerium(IV) fluoride	10060-10-3
CeH2	cerium(II) hydride	13569-50-1
CeI2	cerium(II) iodide	19139-47-0
CeI3	cerium(III) iodide	7790-87-6
CeN	cerium(III) nitride	25764-08-3
CeO2	cerium(IV) oxide	1306-38-3
CeS	cerium(II) sulfide	12014-82-3
CeVO2	cerium(III) vanadate	13597-19-8
Ce2(C2O4)3	cerium(III) oxalate	15750-47-7
Ce2O3	cerium(III) oxide	1306-38-3
Ce2S3	cerium(III) sulfide	12014-93-6
CfBr2	californium(II) bromide	36700-18-2
CfBr3	californium(III) bromide	20758-68-3
CfCl2	californium(II) chloride	99643-99-9
CfCl3	californium(III) chloride	13536-90-8
CfF3	californium(III) fluoride	42775-52-0
CfF4	californium(IV) fluoride	42845-08-9
CfI2	californium(II) iodide	49774-08-5
CfI3	californium(III) iodide	20758-81-0
CfO2	californium(IV) oxide	12015-10-0
Cf2O3	californium(III) oxide	12050-91-8
(CH3)2SO	Dimethyl sulfoxide (DMSO)	67-68-5
ClF	chlorine monofluoride	7790-89-8
ClF3	chlorine trifluoride	7790-91-2
ClF5	chlorine pentafluoride	13637-63-3
ClOClO3	chlorine perchlorate	27218-16-2
Cl2O	chlorine monoxide	7791-21-1
ClO2	chlorine dioxide	10049-04-4
Cl2O3	chlorine trioxide	17496-59-2
Cl2O6	chlorine hexoxide	12442-63-6
Cl2O7	chlorine heptoxide	10294-48-1
CmBr3	curium(III) bromide	14890-42-7
CmCl3	curium(III) chloride	13537-20-7
CmF3	curium(III) fluoride	13708-79-7
CmF4	curium(IV) fluoride	24311-95-3
CmI3	curium(III) iodide	14696-85-6
CmO	curium(II) oxide	24762-86-5
CmO2	curium(IV) oxide	12016-67-0
Cm2O3	curium(III) oxide	12371-27-6
CHN	hydrogen cyanide	74-90-8
CoAl2O4	cobalt(II) aluminate	13820-62-7
CoBr2	cobalt(II) bromide	7789-43-7
Co(CN)2	cobalt(II) cyanide	542-84-7
Co(C2H3O2)2	cobalt(II) acetate	71-48-7
Co(C2H3O2)2	cobalt(II) acetate tetrahydrate	6147-53-1
CoC2O4	cobalt(II) oxalate	814-89-1
Co(C11H10O2)2	cobalt(II) naphthenate	61789-51-3
CoC15H21O6	cobalt(III) acetylacetonate	21679-46-9
Co(ClO4)2	cobalt(II) perchlorate	13455-31-7
CoCl2	cobalt(II) chloride	7646-79-9
CoCl2•6H2O	cobalt(II) chloride hexahydrate	7791-13-1
CoCl3	cobalt(III) chloride	10241-04-0
CoCrO4	cobalt(II) chromate	24613-38-5
CoCr2O4	cobalt(II) chromite	13455-25-9
CoF2	cobalt(II) fluoride	10026-17-2
CoF3	cobalt(III) fluoride	10026-18-3
CoF4	cobalt(IV) fluoride	13596-45-7
CoI2	cobalt(II) iodide	15238-00-3
Co(IO3)2	cobalt(II) iodate	13455-28-2
CoMoO4	cobalt(II) molybdate	13762-14-6
Co(NO3)2	cobalt(II) nitrate	10141-05-6
Co(NO3)2•6H2O	cobalt(II) nitrate hexahydrate	10026-22-9
Co(NO3)3	cobalt(III) nitrate	15520-84-0
CoO	cobalt(II) oxide	1307-96-6
Co(OH)2	cobalt(II) hydroxide	21041-93-0
Co(OH)3	cobalt(III) hydroxide	1307-86-4
CoS	cobalt(II) sulfide	1317-42-6
CoS2	cobalt(IV) sulfide	12013-10-4
CoSe	cobalt(II) selenide	1307-99-9
CoTe	cobalt(II) telluride	12017-13-9
CoTiO3	cobalt(II) titanate	12017-01-5
CoWO4	cobalt(II) tungstate	12640-47-0
Co2O3	cobalt(III) oxide	1308-04-9
Co2O3•H2O	cobalt(III) oxide monohydrate	12016-80-7
CoSO4	cobalt(II) sulfate	10124-43-3
Co2S3	cobalt(III) sulfide	1332-71-4
Co2SiO4	cobalt(II) orthosilicate	12017-08-2
Co2SnO4	cobalt(II) stannate	12139-93-4
Co2TiO4	cobalt(III) titanate	12017-38-8
Co3(Fe(CN)6)2	cobalt(II) ferricyanide	14049-81-1
CrBr2	chromium(II) bromide	10049-25-9
CrBr3	chromium(III) bromide	10031-25-1
CrBr4	chromium(IV) bromide	23098-84-2
Cr(C6H4NO2)3	chromium(III) picolinate	14639-25-9
Cr(CO)6	chromium(VI) carbonyl	13007-92-6
CrCl2	chromium(II) chloride	10049-05-5
CrCl3	chromium(III) chloride	10025-73-7
CrCl4	chromium(IV) chloride	15597-88-3
CrF2	chromium(II) fluoride	10049-10-2
CrF3	chromium(III) fluoride	7788-97-8
CrF4	chromium(IV) fluoride	10049-11-3
CrF5	chromium(V) fluoride	14884-42-5
CrF6	chromium(VI) fluoride	13843-28-2
CrI2	chromium(II) iodide	13478-28-9
CrI3	chromium(III) iodide	13569-75-0
CrI4	chromium(IV) iodide	23518-77-6
CrN	chromium(III) nitride	12053-27-9
Cr(NO3)3	chromium(III) nitrate	13548-38-4
CrO2	chromium(IV) oxide	12018-01-8
CrO3	chromium(VI) oxide	1333-82-0
CrPO4	chromium(III) phosphate	7789-04-0
CrSe	chromium(II) selenide	12053-13-3
CrO2F2	chromyl fluoride	7788-96-7
CrO2Cl2	chromyl chloride	14977-61-8
Cr2O3	chromium(III) oxide	1308-38-9
Cr2(SO4)3	chromium(III) sulfate	10101-53-8
Cr2S3	chromium(III) sulfide	12018-22-3
Cr2Te3	chromium(III) telluride	12053-39-3
Cr3C2	chromium(II) carbide	12012-35-0
Cr3O4	chromium(II,III) oxide	12018-34-7
CsBO2	caesium metaborate	92141-86-1
CsBr	caesium bromide	7787-69-1
CsBrO3	caesium bromate	13454-75-6
CsCN	caesium cyanide	21159-32-0
CsC2H3O2	caesium acetate	3399-17-5
CsCl	caesium chloride	7647-17-8
CsClO3	caesium chlorate	13763-67-2
CsClO4	caesium perchlorate	13454-84-7
CsF	caesium fluoride	13400-13-0
CsH	caesium hydride	58724-12-2
CsI	caesium iodide	7789-17-5
CsIO3	caesium iodate	13454-81-4
CsIO4	caesium periodate	13478-04-1
CsMnO4	caesium permanganate	13456-28-5
CsNH2	caesium amide	22205-57-8
CsNO2	caesium nitrite	13454-83-6
CsNO3	caesium nitrate	7789-18-6
CsN3	caesium azide	22750-57-8
CsOH	caesium hydroxide	21351-79-1
CsO2	caesium superoxide	12018-61-0
CsVO3	caesium vanadate	14644-55-4
Cs2CO3	caesium carbonate	534-17-8
Cs2C2O4	caesium oxalate	1068-63-9
Cs2CdI4	caesium tetraiodocadamate	15683-21-3
Cs2CrO4	caesium chromate	56320-90-2
Cs2MoO4	caesium molybdate	13597-64-3
Cs2O	caesium oxide	20281-00-9
Cs2O2	caesium peroxide	12053-70-2
Cs2S	caesium sulfide	12214-16-3
Cs2SO4	caesium sulfate	10294-54-9
Cs2Se	caesium selenide	31052-46-7
Cs2Te	caesium telluride	12191-06-9
Cs2WO4	caesium tungstate	13587-19-4
Cs2ZnI4	caesium tetraiodozincate	15158-68-6
Cu(BF4)2	copper(II) tetrafluoroborate	14735-84-3
Cu(BO2)2	copper(II) borate	393290-85-2
CuBr	copper(I) bromide	7787-70-4
CuBr2	copper(II) bromide	7789-45-9
Cu(CHO2)2	copper(II) formate	544-19-4
CuCN	copper(I) cyanide	544-92-3
Cu(CN)2	copper(II) cyanide	14763-77-0
CuC2	copper(II) acetylide	1117-94-8
CuC2H3O2	copper(I) acetate	598-54-9
Cu(C2H3O2)2	copper(II) acetate	142-71-2
CuC2O4	copper(II) oxalate	814-91-5
Cu(C16H35O2)2	copper(II) stearate	660-60-6
